titulo,descripcion,precio,nro_ambientes,nro_banios,area_m2,latitud,longitud,estado,detalles,enlace
CALACOTO,"Calacoto, La Paz - Departamento en Anticrético","$us. 70,000",2.0,2.0,126.0,-16.539743,-68.082382,Disponible,"EN ANTICRETICO MODERNO DEPARTAMENTO DE LUJO EN CALACOTO, EXCELENTE VISTA , BASTANTE SOLEADO, 2 DORMITORIOS UNO EN SUITE, 2 BAÑOS, LIVING COMEDOR , COCINA CERRADA Y ESTILO AMERICANA, GARAJE. MATERIALES DE LUJO , MUEBLES DE ALTA CALIDAD, VENTANAS THERMOPANEL CUENTA CON ÁREAS COMUNES: PARRILLERO Y TERRAZA. 126m2",https://www.ultracasas.com/inmueble/departamento-en-anticretico-calacoto-calacoto-la-paz-644096
"Departamento en alquiler Calacoto, en la Av. Ballivian","Calacoto, La Paz - Departamento en Alquiler","Bs. 8,000",3.0,3.0,170.0,-16.541389,-68.084869,Disponible,Departamento totalmente amoblado Muy cómodo con un estilo bonito y amplio este departamento ideal para familias o ejecutivos Consta de 3 dormitorios (1 en suite) 1 baño completo 1 baño de visitas Amplio living y comedor Cocina equipada con comedor de diario Área de servicio y lavandería Garaje,https://www.ultracasas.com/inmueble/departamento-en-alquiler-calacoto-departamento-en-alquiler-la-paz-1054109
PINOS NORTE,"Los Pinos, La Paz - Departamento en Venta","$us. 115,000",2.0,2.0,87.0,-16.539085,-68.075684,Disponible,"MODERNO DEPARTAMENTO EN VENTA DE 2 DORMITORIOS EN CONDOMINIO CERRADO EXCELENTE UBICACIÓN! CONSTA DE 2 DORMITORIOS UNO EN SUITE , 2 BAÑOS , LIVING COMEDOR, COCINA CERRADA, LAVANDERÍA, GARAJE Y BAULERA. PARRILLERO COMÚN PRECIO 115000$us",https://www.ultracasas.com/inmueble/departamento-en-venta-los-pinos-pinos-norte-la-paz-636228
MODERNO DEPARTAMENTO DUPLEX EN VENTA CERCA AL COMPLEJO STRONGEST,"Achumani, La Paz - Departamento en Venta","$us. 218,000",3.0,4.0,223.0,-16.517496,-68.061409,Disponible,"El edificio se encuentra ubicado en uno de los sectores más tranquilos y cómodos de Achumani, cerca de supermercados, tiendas y farmacias. Una ubicación estratégica, porque se encuentra a una cuadra de la Av. Principal. Seguridad 24/7. El edificio cuenta con un salón de eventos y área verde para mascotas. Con 223 m2 de superficie útil, construido con materiales de primera calidad, con pisos de tablones de madera recientemente plastificados, puertas macizas, revestimientos de porcelanato, iluminación LED alemana, grifería marca GENEBRE. Por su ubicación, tiene sol de mañana y tarde todo el año, amplios ambientes, ventanales grandes, cálido y con hermosas vistas. Temperatura media de 22º todo el año. Último Piso Consta de: • Recibidor • Living-comedor amplios • Cocina tipo americana con mueblería de piso y pared, y mesones de granito. • año de visitas con espejo retro-iluminado • 3 Dormitorios, uno en Suite y dos comparten baño • Escritorio que puede ser habilitado como un 4to. Dormitorio • Cuarto de máquinas • Área de lavandería • Garaje para una movilidad • Baulera",https://www.ultracasas.com/inmueble/departamento-en-venta-achumani-moderno-departamento-duplex-en-la-paz-981740
𝗖𝗔𝗦𝗔 𝗘𝗡 𝗩𝗘𝗡𝗧𝗔 – 𝗔𝗨𝗤𝗨𝗜𝗦𝗔𝗠𝗔Ñ𝗔 – 𝗨́𝗡𝗜𝗖𝗔 𝗘𝗡 𝗦𝗨 𝗘𝗦𝗧𝗜𝗟𝗢,"Auquisamaña, La Paz - Casa en Venta","$us. 450,001",4.0,6.0,350.0,-16.548218,-68.075943,Disponible,"Esta 𝗽𝗿𝗲𝗰𝗶𝗼𝘀𝗮 𝗰𝗮𝘀𝗮 está en venta y la pongo a tu consideración como una excelente opción de vivienda. 📐 𝗧𝗲𝗿𝗿𝗲𝗻𝗼: 530 m² 𝗖𝗼𝗻𝘀𝘁𝗿𝘂𝗰𝗰𝗶𝗼́𝗻: 380 m² 🌳 𝗣𝗿𝗲𝗰𝗶𝗼𝘀𝗼 𝗷𝗮𝗿𝗱𝗶́𝗻 Una casa 𝗲𝘀𝘁𝗶𝗹𝗼 𝗰𝗵𝗮𝗹𝗲𝘁, donde todas las puertas de la planta baja se fusionan con el jardín. En su construcción destacan la 𝗺𝗮𝗱𝗲𝗿𝗮 𝘆 𝗹𝗮 𝗽𝗶𝗲𝗱𝗿𝗮, logrando una combinación perfecta. 𝗔𝗺𝗯𝗶𝗲𝗻𝘁𝗲𝘀: Área de recepción Living – comedor con chimenea Solárium Escritorios Preciosa cocina Baño de visitas 𝗦𝗲𝗴𝘂𝗻𝗱𝗮 𝗽𝗹𝗮𝗻𝘁𝗮: 3 dormitorios (1 en suite) Sala de estar familiar 𝗘𝗻 𝗲𝗹 𝗷𝗮𝗿𝗱𝗶́𝗻: Área de lavandería Cuarto y baño de servicio Depósito 𝗣𝗿𝗲𝗰𝗶𝗼: $us. 450.000.- 📞 𝗖𝗼𝗻𝘁𝗮𝗰𝘁𝗼: Patricia Vilela 📱 Cel.  –",https://www.ultracasas.com/inmueble/casa-en-venta-auquisamana-n-la-paz-1051766
SAN MIGUEL,"San Miguel, La Paz - Departamento en Alquiler",$us. 600,1.0,1.0,51.0,-16.543283,-68.078049,Disponible,"HERMOSO DEPARTAMENTO DE UN DORMITORIO EN ALQUILER, SOLEADO CON JARDÍN PERIMETRAL, MODERNO CON EXCELENTE UBICACIÓN. DISPONIBLE A PARTIR DEL 15 DE JULIO",https://www.ultracasas.com/inmueble/departamento-en-alquiler-san-miguel-san-miguel-la-paz-644117
OFICINA EN ALQUILER EN SAN MIGUEL AV. MONTENEGRO,"San Miguel, La Paz - Oficina en Alquiler","Bs. 2,500",5.0,2.0,60.0,-16.541965,-68.080925,Disponible,"Esta oficina tiene la particularidad de estar ubicada en la zona de San miguel sobre la Av. Montenegro, en edificio de oficinas. Es un ambiente amplio de 123 m2 que goza de estar dividido en todos los ambientes, además, de ocupar todo el piso del edificio tiene sol de día y de tarde con bellas vistas. Está en piso alto y el edificio cuenta con ascensor. Además, tiene el beneficio de estar ubicado en la mejor área de la Av. Montenegro. Cuenta con: * Un ambiente amplio * 4 ambientes medianos * 2 baños * 1 cocina con espacio para colocar un comedor de diario para los miembros de la oficina Alquiler con factura",https://www.ultracasas.com/inmueble/oficina-en-alquiler-san-miguel-oficina-en-alquiler-en-san-la-paz-597660
Calle Man Cesped esq Constancio Vigil,"La Florida, La Paz - Departamento en Venta","$us. 450,000",3.0,4.0,202.0,-16.547335,-68.087555,Disponible,"Departamento de 202 m2 y 120 de deck + solarium + parrillero techado. 3 dormitorios todos en suite. Living, comedor, baño de visitas, cocina, lavandería, dependencias de empleada. 2 garages, 1 baulera.",https://www.ultracasas.com/inmueble/departamento-en-venta-la-florida-calle-man-cesped-esq-la-paz-1053889
ACHUMANI,"Achumani, La Paz - Departamento en Venta","$us. 115,000",3.0,3.0,115.0,-16.522179,-68.062279,Disponible,"EXCELENTE CONSTRUCCIÓN EN LA SUIZA 1, DEPARTAMENTO DE EN PRE- VENTA . MODERNO E INNOVADOR DISEÑO CONSTRUIDO CON LOZA RADIER. MATERIALES DE PRIMERA CALIDAD, DEPARTAMENTO INTELIGENTE CON DOMOTICA, TERRAZA CON PARRILLERO, CONSTA DE 3 DORMITORIOS UNO EN SUITE, 3 BAÑOS , COCINA AMOBLADA CON ENCIMERA, EXTRACTOR , HORNO Y ALACENA, LIVING COMEDOR, LAVANDERÍA CON CALEFON INCLUIDO. EL PRECIO INCLUYE GARAJE Y BAULERA",https://www.ultracasas.com/inmueble/departamento-en-venta-achumani-achumani-la-paz-644116
,,,,,,,,Disponible,,
Los Pinos,"Los Pinos, La Paz - Departamento en Venta","$us. 286,000",3.0,4.0,257.0,-16.541513,-68.075951,Disponible,"Los Pinos hermoso penthouse duplex en venta, lleno de sol, con una superficie de 200 mts2 de departamento y 57 mts2 de terraza privada Consta de 4 dormitorios en suite, living y comedor amplios, baño de visitas, sala de estar con salida a la terraza, garaje, baulera, ascensor Cocina con comedor de diario, dependencias de empleada Precio Sus 286.000 t/c 6.97",https://www.ultracasas.com/inmueble/departamento-en-venta-los-pinos-los-pinos-la-paz-995822
DEPARATAMENTO EN VENTA ACHUMANI AMPLIO EXCELENTE PRECIO,"Achumani, La Paz - Departamento en Venta","$us. 105,000",3.0,4.0,151.0,-16.518517,-68.058716,Disponible,"Esta es una gran oportunidad para que tengas un hogar bonito a un precio muy recomendable. El departamento cuenta con 156 m2 lo cual lo hace super cómodo. Sus ambientes son: * Área de recepción * Living comedor * Cocina con comedor de diario y despensa * Sala de Estar * Escritorio * Baño de Visitas * 3 dormitorios 1 en suite dos comparten un baño familiar * Área de lavanderia * Cuarto y baño de servicio * 2 garajes Precio $us.115.000.- tipo de cambio oficial del momento Para coordinar una visita y poder ayudarte en resolver cualquier consulta, Contactarme al cel.  o al cel. 7 con Patricia Vilela",https://www.ultracasas.com/inmueble/departamento-en-venta-achumani-deparatamento-en-venta-la-paz-1043334
PRECIOSO PENT HOUSE DE DOS DORMITORIOS A LA VENTA O ALQUILER EN CONDOMINIO PRIVADO EXCLUSIVO,"Auquisamaña, La Paz - Departamento en Alquiler","$us. 2,500",2.0,4.0,240.0,-16.548418,-68.07576,Disponible,"Tenemos en esta oportunidad el privilegio de presentarte este bello Pent House de dos dormitorios tipo Dúplex. Este bello departamento, cuenta con amplios ambientes, vistas espectaculares de la cuidad, asoleamiento insuperable y lo que mas destaca es que es totalmente moderno, de materiales de primera calidad, muchos detalles en la decoración y en la construcción lo que hace que este sea un gran hogar para quien se determine vivir en el. Cuenta con 258 mts2, a pocos minutos de Calacoto y las vistas son increíbles. Sus ambientes son: * Área de recepción * Amplio living y comedor con salida a la terraza * Escritorio * Baño de visitas * Cocina estilo americana amplia, totalmente equipada con lavavajillas, horno encimero, campana, refrigerador * Comedor de diario En la segunda planta: * 2 amplios dormitorios en suite con amplio baño y vestidor * Calefacción central a gas en todo el departamento * Área de lavandería * Dependencia de servicio * Un garaje y una baulera Precio venta: $us 550.000 Precio alquiler amoblado: $us 2500.- Contacto Patricia Vilela Cel.  o cel.",https://www.ultracasas.com/inmueble/departamento-en-alquiler-auquisamana-precioso-pent-house-de-la-paz-1043315
SOBRE LA AVENIDA ARCE- SOPOCACHI BELLO DEP. VENTA 3 DORMITORIOS,"Sopocachi, La Paz - Departamento en Venta","$us. 235,000",3.0,4.0,174.0,-16.515263,-68.130272,Disponible,"Precioso departamento sobre la Av. Arce, en piso alto, con vistas espectaculares, en edificio muy elegante. El departamento fue totalmente restaurado, y tiene toques de modernidad como la cocina semi abierta, se remplazó las paredes, que dan al comedor, por puertas de vidrio corredizo, lo cual le da una aire totalmente moderno y elegante. Cuenta con 174 m2 de área útil. Todos sus ambientes amplios los cuales se desarrollan de la siguiente manera: • Área de recepción • Living comedor con amplio ventanal con vista a la avenida Arce • Cocina totalmente moderna, cuenta con mueblería de piso y pared nueva, mesones de granito, nuevos una isla que lo separa al comedor de diario de granito vienen empotrados, la cocina mesonera a gas domiciliario, horno y micro hondas, porcelanato en las paredes y pisos nuevos con colores de última generación. • Comedor de diario • Sala de estar familiar • 3 Dormitorios, uno en Suite y dos comparten baño, en estos ambientes cabe destacar los bellos roperos de madera • Baño para visitas • Área de lavandería • Área de servicio con cuarto y baño • Garaje para un vehículo",https://www.ultracasas.com/inmueble/departamento-en-venta-san-jorge-departamento-en-venta-sobre-la-paz-1005263
CALACOTO,"San Miguel, La Paz - Casa en Alquiler","$us. 1,200",4.0,5.0,313.0,-16.5446,-68.077538,Disponible,"EXCELENTE OPORTUNIDAD!! AMPLIA CÓMODA SOLEADA CASA EN ALQUILER EN PLENO CENTRO DE CALACOTO CONSTA DE 4 DORMITORIOS , 2 EN SUITE, LIVING COMEDOR, ESCRITORIO, CUARTO DE JUEGOS, JARDÍN  GARAJE PARA DOS MOVILIDADES, DEPENDENCIAS DE SERVICIO.",https://www.ultracasas.com/inmueble/casa-en-alquiler-san-miguel-calacoto-la-paz-648300
BONITO Y AMPLIO DEPARTAMENTO EN VENTA EN EL CORAZÓN DE MIRAFLORES,"Miraflores, La Paz - Departamento en Venta","$us. 170,000",3.0,2.0,205.0,-16.49399,-68.121498,Disponible,"Ubicado en pleno corazón de Miraflores, a solo 3 cuadras del Monumento Busch. Con excelentes materiales de construcción y una terraza privada, este departamento ofrece comodidad y privacidad. Se encuentra en el último piso (3º) de un edificio pequeño sin ascensor y un departamento por piso. Superficie:  205m² CARACTERÍSTICAS: • Amplia área social (living–comedor) con chimenea • Cocina con cajonería alta y baja, cómoda y funcional • 3 dormitorios • 3 baños en total • Terraza privada ideal para disfrutar del sol y reuniones al aire libre • Área de lavandería INCLUYE • 1 parqueo",https://www.ultracasas.com/inmueble/departamento-en-venta-miraflores-bonito-y-amplio-la-paz-1053538
AV. HERNANDO SILES,"Obrajes, La Paz - Departamento en Venta","$us. 135,000",3.0,3.0,116.0,-16.525921,-68.108299,Disponible,"COMPRA TU DEPARTAMENTO CON EXCELENTE UBICACIÓN SOBRE LA AVENIDA HERNANDO SILES EN OBRAJES CONSTA DE 3 DORMITORIOS UNO EN SUITE, LIVING COMEDOR, COCINA COMEDOR, DEPENDENCIAS DE SERVICIO, 3 BAÑOS, GARAJE. SUPERFICIE CONSTRUIDA 116m2",https://www.ultracasas.com/inmueble/departamento-en-venta-obrajes-av-hernando-siles-la-paz-641395
SAN MIGUEL,"San Miguel, La Paz - Departamento en Alquiler",$us. 500,1.0,1.0,37.0,-16.543776,-68.077103,Disponible,ALQUILA TU DEPARTAMENTO AMOBLADO DE UN DORMITORIO CON UNA EXCELENTE UBICACIÓN EN SAN MIGUEL,https://www.ultracasas.com/inmueble/departamento-en-alquiler-san-miguel-san-miguel-la-paz-633415
26 de cota cota,"Cota Cota, La Paz - Casa en Venta","$us. 620,000",5.0,5.0,550.0,-16.541842,-68.067535,Disponible,"APROVECHA  LA OPORTUNIDAD DE TENER LA CASA  DE TUS SUEÑOS.... EXCELENTE UBICACIÓN  EN LA CALLE 26,  SUPERFICIE DEL TERRENO 1000m2  SUPERFICIE CONSTRUIDA 550m2 . CONSTA DE 5 DORMITORIOS, 2 EN SUITE, 3 SALAS DE ESTAR FAMILIAR, 5 BAÑOS, AMPLIO LIVING COMEDOR, COCINA AMPLIA CON COMEDOR DE DIARIO, AMPLIO AMBIENTE PARA DEPENDENCIAS DE SERVICIOS. 5 GARAJES, SOLARIUM CON JACUSSI, VIVERO CON PLANTINES DE UVA,ETC PRECIO 630000 $us EXCELENTE PRECIO !!!",https://www.ultracasas.com/inmueble/casa-en-venta-cota-cota-26-de-cota-cota-la-paz-625885
"OFICINA EN ALQUILER, SAN MIGUEL","San Miguel, La Paz - Oficina en Alquiler",$us. 380,1.0,1.0,40.0,-16.542562,-68.080055,Disponible,"Linda y soleada oficina con baño y mueble de cocina, ubicado en la comercial zona de San Miguel",https://www.ultracasas.com/inmueble/oficina-en-alquiler-san-miguel-oficina-en-alquiler-san-la-paz-1034865
OFICINA EN VENTA TOTALMENTE EJECUTIVA ... UN SUEÑO,"Calacoto, La Paz - Oficina en Venta","$us. 285,000",8.0,3.0,172.0,-16.541595,-68.088005,Disponible,"Este es el lugar perfecto para que tu empresario o profesional lo escojas para que sea tu oficina el lugar donde desarrollas tus proyectos, tu trabajo valioso y todo tus sueños y planes de vida. Es así que te presento en un edificio 100 % empresarial, con seguridad 24/7 y altamente ejecutivo. Este piso de oficinas puede ser vendido en su totalidad o parcialmente. Te describo todos los ambientes completos * Área de recepción amplia * 7 ambientes amplios todo con ventanales de piso a pared con vista insuperables a la avenida generando calidez y luz. * 3 baños completos * Una cocina estilo kichinet, con gas domiciliario * Un depósito * Un parqueo doble para dos vehículos * Chapa con censor, cámaras de seguridad controladas desde el teléfono * Todos los ambientes tienen calefactores que funcionan a gas domiciliario * El depósito dentro de la oficina es un lugar ideal para guardar archivos o lo que necesites Este si es una  oportunidad de inversión insuperable aprovéchala Contacto para programar una vista Patricia Vilela",https://www.ultracasas.com/inmueble/oficina-en-venta-calacoto-oficina-en-venta-totalmente-la-paz-1044458
TERRENO EN VENTA EN  ACHOCALLA,"Achocalla, La Paz - Terreno en Venta","$us. 65,000",,,1500.0,-16.570801,-68.117981,Disponible,"Este terreno es una gran oportunidad de inversión, pues cuenta con 1500 m2 totalmente delimitados en dos frentes con muro, además todos los papeles al día, pero lo mas interesante es que esta a tipo de cambio oficial Está ubicado en un sector ya urbanizado, a solo 3 minutos e la carretea principal , con dos accesos, totalmente plano sin quebradas ni cerros Mucha vegetación lindo clima bellas vistas Precio $us. 78.000.- Contáctame al cel.  o al cel.",https://www.ultracasas.com/inmueble/terreno-en-venta-achocalla-terreno-en-venta-en-achocalla-la-paz-1047831
,,,,,,,,Disponible,,
FLA52334 – ALQUILA TU LOCAL COMERCIAL U OFICINAS EN MIRAFLORES,"Miraflores, La Paz - Local comercial en Alquiler","$us. 3,500",,,700.0,-16.503611,-68.123734,Disponible,"AMPLIO LOCAL COMERCIAL IDEAL PARA DISTRIBUIDORA, FARMACIA, SUPERMERCADO, ENTIDAD FINANCIERA, EMPRESAS DE TELECOMUNICACIONES, SHOWROOM, ETC ESTA UBICADO EN PLENA ESQUINA CON UNA SUPERFICIE DE 700m2 DISTRIBUIDOS EN DOS PLANTAS. A PASOS DE LA AV. BUSCH. PRECIO 3500 $US",https://www.ultracasas.com/inmueble/local-comercial-en-alquiler-miraflores-fla52334-alquila-tu-la-paz-637097
Calacoto,"Calacoto, La Paz - Departamento en Alquiler",$us. 500,1.0,1.0,50.0,-16.541143,-68.083496,Disponible,ALQUILA TU MODERNO DEPARTAMENTO DE UN DORMITORIO TOTALMENTE  AMOBLADO Y EQUIPADO EN CALACOTO.,https://www.ultracasas.com/inmueble/departamento-en-alquiler-calacoto-calacoto-la-paz-639895
FOA37030 – ALQUILA TU OFICINA EN SOPOCACHI,"Sopocachi, La Paz - Oficina en Alquiler","$us. 1,500",5.0,3.0,190.0,-16.511362,-68.124565,Disponible,"ALQUILA TUS OFICINAS EN SOPOCACHI, AMPLIAS CONFORTABLES Y CON EXCELENTE UBICACIÓN, CONSTA DE UN AMPLIO AMBIENTE DIVIDIDO CON MAMPARAS (OPCIONAL),ADEMAS DOS OFINAS MAS PEQUEÑAS, COCINETA, 2 BAÑOS Y UN PATIO 190m2 CONSTRUIDOS, PRECIO 1500 $us",https://www.ultracasas.com/inmueble/oficina-en-alquiler-sopocachi-foa37030-alquila-tu-oficina-en-la-paz-641866
"DEPARTAMENTO AMOBLADO Y EQUIPADO EN ALQUILER, ACHUMANI","Achumani, La Paz - Departamento en Alquiler","Bs. 4,000",2.0,2.0,88.0,-16.532463,-68.073433,Disponible,"DEPARTAMENTO EN ALQUILER AMOBLADO Y EQUIPADO EN ACHUMANI SUPERFICIE: 88 Mts2 PRECIO: Bs. 4,000 (incluye garaje) CARACTERISTICAS: Lindo departamento, lleno de sol, cerca al mercado de Achumani, cuenta con: 2 dormitorios (1 en suite) Living-Comedor Cocina Cerrada Área de lavandería Baño de visitas y compartido con el dormitorio secundario Garaje",https://www.ultracasas.com/inmueble/departamento-en-alquiler-achumani-departamento-amoblado-y-la-paz-1052603
HERMOSA CASA JARDINES DEL SUR ACHUMANI EN ALQUILER,"Achumani, La Paz - Casa en Alquiler","$us. 2,000",5.0,7.0,560.0,-16.495169,-68.052109,Disponible,"Bella casa a estrenar, estilo moderno, elegante minimalista, se destacan materiales de primera calidad, con todos los ambientes amplios, llenos de confort. Listo para la entrega. La casa cuenta con las siguientes áreas: * Área de recepción * Living comedor amplio * Cocina súper moderna mueblería arriba y abajo con mesones de granito, semi equipada * Escritorio * Baño de Visitas Segunda planta * 3 dormitorios todos en suite con walk-in closet * Preciosa sala de estar familiar * Dos terrazas amplias muy agradables Tercera Planta * Un dormitorio en suite con terraza amplia La casa por fuera tiene los siguientes ambientes: * Cocineta lugar que alivia la limpieza de la casa * Área de lavandería * Área de servicio cuarto baño * Precioso jardín con parrillero * Garaje para dos vehículos",https://www.ultracasas.com/inmueble/casa-en-alquiler-achumani-hermosa-casa-jardines-del-sur-la-paz-878213
"EDIFICIO EN VENTA, AV. ARCE","San Jorge, La Paz - Edificio en Venta","$us. 2,250,000",20.0,15.0,1250.0,-16.513371,-68.120255,Disponible,"ATENCION EMPRESAS CONSTRUCTORAS, INSTITUCIONES FINANCIERAS,  INSTITUCIONES PUBLICAS Y PRIVADAS, ORGANISMOS INTERNACIONALES!!!! IMPERDIBLE INVERSION!!! EDIFICIO EN VENTA CON ESPECTACULAR UBICACION EN LA ZONA CENTRAL (AVENIDA ARCE) DE LA CIUDAD. CARACTERISTICAS: SUPERFICIE TERRENO: 840 mts2 ÁREA CONSTRUÍDA: 1.249,28 mts2 PRECIO: $us. 2.250.000 ofertable!!! CARACTERISTICAS: AMBIENTE AMPLIO PARA ATENCIÓN AL CLIENTE MAS DE 20 OFICINAS RECEPCIÓN BAÑOS SALAS DE REUNIONES AMPLIO ALMACEN / DEPOSITO OFICINAS EJECUTIVAS PAPELES EN ORDEN",https://www.ultracasas.com/inmueble/casa-en-venta-san-jorge-edificio-en-venta-av-arce-la-paz-1011919
"SAN MIGUEL, OFICINAS EN ALQUILER","San Miguel, La Paz - Oficina en Alquiler","Bs. 2,500",1.0,1.0,60.0,-16.542213,-68.080025,Disponible,"Excelente ubicación, en pleno corazón de San Miguel, ideal para empresas o profesionales que buscan comodidad, accesibilidad y un entorno dinámico. Ambientes soleados y funcionales, listos para adecuarse a tus necesidades. Características: Oficina 1: 60 m² | Alquiler: Bs. 2.500 Oficina 2: 45 m² | Alquiler: Bs. 2.300 Posibilidad de alquilarlas juntas o por separado",https://www.ultracasas.com/inmueble/oficina-en-alquiler-san-miguel-san-miguel-oficinas-en-la-paz-1052506
Calacooto,"Calacoto, La Paz - Casa en Venta","$us. 920,000",3.0,5.0,300.0,-16.541883,-68.087532,Disponible,"Oportunidad única en la codiciada zona residencial de Calacoto Descubre el encanto de esta hermosa casa estilo vintage, diseñada para ofrecer in ambiente cálido y acogedor. Ademas de tener un terreno óptimo para proyectos de construcción. Características destacadas: disfruta de la elegancia de lis acabados en madera y detalles arquitectónicos únicos. En el corazón de Calacoto con acceso cercano a servicios, escuelas y áreas recreativas. Terreno espacioso, ideal para futuros proyectos de construcción o ampliaciones, brindándote muchas posibilidades. La casa tiene un hermoso jardín, living y comedor con solárium y un acogedor estar familiar, 3 dormitorios con terrazas y balcones, patio trasero, dependencias de servicios. Cuenta con un cafe en funcionamiento con todas las dependencias propias del rubro",https://www.ultracasas.com/inmueble/casa-en-venta-calacoto-calacooto-la-paz-1034559
FOV37015 – COMPRA TU OFICINA EN SOPOCACHI,"Sopocachi, La Paz - Oficina en Venta","$us. 220,000",3.0,3.0,190.0,-16.513384,-68.131889,Disponible,"COMPRA TUS OFICINAS EN SOPOCACHI, EXCELENTE UBICACIÓN CONSTA DE UN AMBIENTE AMPLIO DIVIDIDO CON MAMPARAS, DOS AMBIENTE MAS PEQUEÑOS UNA COCINETA, 2 BAÑOS Y UN PATIO IDEAL PARA CUALQUIER TIPO DE EMPRESA . 190m2 CONSTRUIDOS PRECIO 220000 $us",https://www.ultracasas.com/inmueble/oficina-en-venta-sopocachi-fov37015-compra-tu-oficina-en-la-paz-641868
EN LA FLORIDA ELEGANTE CASA A LA VENTA,"La Florida, La Paz - Casa en Venta","$us. 650,000",4.0,6.0,540.0,-16.551964,-68.084778,Disponible,"Elegante casa en condominio privado en la florida estilo muy clásico de excelentes materiales y encantador con todos los ambientes únicos, ideal para una familia grande que guste de la tranquilidad y comodidad. Uno de sus mejores atractivos es que tiene piscina techada atemperada y parrillero techado. Cuenta con 658,24 m2 de terreno y 540 m2 construidos. Cuenta con los siguientes ambientes: • Área de recepción • 2 Livings con chimenea • Cocina amplia y moderna con mucha cajonería y mesones de granito, despensa • Comedor de diario en ambiente separado • Baño de visitas • Escritorio • En esta planta tiene la piscina de excelente tamaño y atemperada que cuenta con su baño privado • 2da. Planta: • 4 dormitorios todos en suite, el principal tiene dos Walk-in Closet y baño completo con jacuzzi • Sala de estar familiar • Un altillo Semi subsuelo: • Área de lavandería • Área de servicio • Garaje para 4 movilidades",https://www.ultracasas.com/inmueble/casa-en-venta-la-florida-elegante-casa-en-venta-en-la-la-paz-1008762
DEPARTAMENTO ENE ALQUILER SUPER IMPECABLE,"Calacoto, La Paz - Departamento en Alquiler","Bs. 4,800",2.0,3.0,104.0,-16.538088,-68.07737,Disponible,"Este es un lindo  departamento de dos dormitorios, que estamos alquilando en pleno centro de Calacoto, super bien ubicado con todo lo que necesitas a pocos pasos, bancos, farmacias, tiendas, confiterías, restaurantes, mercados, y todo ahí mismo este lindo departamento cuenta con 104 m2 útiles. Sus ambientes son: *Living comedor *  cocina incluye encimera, campana extractora, horno microondas, horno, lavavajillas y refrigerador * Baño de visitas * Dos dormitorios ambos en suite * lavandería, incluye lavadora y secadora La cocina muy amplia con muebles y despensa * Garaje con baulera Edificio con seguridad 24/7 Precio Bs. 6000.-",https://www.ultracasas.com/inmueble/departamento-en-alquiler-calacoto-departamento-ene-alquiler-la-paz-1048042
OPORTUNIDAD DE UNA IMPORTANTE INVERSIÓN EN TU VIDA LOCAL EN VENTA EN ACHUMANI,"Achumani, La Paz - Local comercial en Venta","$us. 175,500",2.0,,130.0,-16.52623,-68.07122,Disponible,"este local en pleno centro de achumani con características especiales, en cuanto a confort elegancia espacio te lo presento en esta oportunidad Además en una ubicación realmente especial ya que esta sobre una av. Principal, frente a una de la plazas más bonitas de la zona y puedes contar con parqueos, acceso súper fácil etc. Cuanta con m2 útiles Re la describo Ubicada en esquina Planta baja Una amplia cocina Dos baños Alacena amplia. Calefacción en todo el ambiente con gas domiciliario. Apto para cafetería Micro marquet Heladería Farmacia etc. Precio $ aceptan tipo de cambio oficial Contacto : Patricia Vilela Celular  y cel. Promociona esta publicación para llegar a 5112 personas más por Bs.70. Estás comentando como Patricia Vilela Hinojosa. Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Redes Inmobiliarias Patricia Vilela osrSetnodp7 e p c 2 1 b n 19 o e e 3 i 99 d c m m6l v a 275 m 9 i19 8 : g 2 l i1 9fga 4 s 6 1 1 . 4i0m . 3ui5a r g a 2 · EN VENTA DEPARTAMENTO AMPLIO COMODO Y MODERNO Este bello departamento te lo presento para que tu lo veas como.jna gran oportunidad para que sea tu hogar Tienes muchos beneficios Uno que es muy fácil acceso ya que por el.desarrlo de la zona está céntrico El.edificio construido con mucho detalle y mucho cuidado materiales de primera calidad, calefacción por piso en el sistema de losa radiante a gas , ventanas con termo panales, vidrios dobles, bellas cocinas con mesones de c… Ver más Promociona esta publicación para llegar a 5112 personas más por Bs.70. Estás comentando como Patricia Vilela Hinojosa. Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook Facebook",https://www.ultracasas.com/inmueble/local-comercial-en-venta-achumani-oportunidad-de-una-la-paz-1038301
,,,,,,,,Disponible,,
